Category,"name
(Parameter to be adjusted)","desc
(Parameter description)","get
(Command for querying parameter values.)","set
(Command for setting parameter values)",needrestart(Whether require restart or not),type (discrete/continuous),"options
(For the discrete type, use"";""to split  different values.)","dtype
(For discrete, the parameter value type can only be int or string.)","scope
(Minimum value of the parameter)","scope
(Maximum Value of the parameter)","step
(Step of the parameter value)","items
(Enumerated values out of parameter values. Use "";"" to split different values)",select (whether to select the parameter),
,net.ipv4.tcp_wmem,"Size of the write buffer. The first value is the minimum value of the read buffer, the third value is the maximum value, and the middle value is the default value. The default value is 4096 16384 4194304. You are advised to change the value to 4096 65536 16777216.",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,4096 16384 4194304;4096 32768 8388608;4096 65536 16777216,string,,,,,yes,
,net.ipv4.tcp_fastopen,Whether to enable the TCP quick open mode is to avoid the three-way handshake of hot requests. This greatly improves the performance in the scenario where small objects are moved.,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,1; 2; 4,string,,,,,yes,
,net.ipv4.tcp_synack_retries,"For the remote connection request SYN, the kernel sends a SYN + ACK packet to acknowledge the receipt of the previous SYN connection request packet.
It's called a three-way handshake. This parameter determines the number of SYN+ACK packets sent by the kernel before the kernel discards the connection.",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,3,64,1,,yes,
,net.ipv4.tcp_syn_retries,"Number of times that the local device retransmits TCP SYN packets due to timeout. The value cannot be greater than 255. This parameter is valid only for outgoing connections. For incoming connections, this parameter is controlled by tcp_retries1.",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,3,64,1,,yes,
,net.ipv4.tcp_moderate_rcvbuf,"Whether to adjust the receive buffer when receiving data
0: no adjustment
1: yes",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes,
,net.ipv4.tcp_timestamps,"Indicates whether to enable the calculation of the RTT in a more accurate way than timeout retransmission (see RFC 1323). This option should be enabled for better performance.
0: no
1: enabled",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes,
,net.ipv4.tcp_dsack,"Indicates whether to allow TCP to send two identical SACKs.
0: disabled
1: enabled",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes,
,net.ipv4.tcp_fack,Enables the forwarding acknowledgment. The selective acknowledgment (SACK) can be performed to reduce the occurrence of congestion. This option should also be enabled.,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes,
,net.ipv4.tcp_sack,"Indicates whether to enable the selective acknowledgment function. This function improves the performance by selectively responding to out-of-order received packets. In this way, the sender can send only lost packet segments. This function should be enabled for WAN communication, however, this increases the CPU usage.
0: no
1: enabled",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes,
,net.ipv4.tcp_low_latency,"Allows the TCP/IP stack to adapt to low latency in high throughput scenarios. This option is generally disabled. (But when building a Beowulf cluster, it helps to open it.)
0: disabled
1: enabled",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes,
,net.ipv4.tcp_adv_win_scale,Calculating the Buffer Overhead,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,0,4,1,,yes,
,net.ipv4.route.max_size,"Maximum number of entries in the routing cache. If the number of entries in the routing cache exceeds the maximum, the old entries are cleared.",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,67108864,2080374784,67108864,,yes,
,net.ipv4.tcp_max_tw_buckets,"Reduce the number of TIME_WAIT connections to prevent excessive TIME_WAIT connections from occupying network resources and increasing the latency.
The default value is 2048. You are advised to change the value to 360000.",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,32768,1048576,32768,,yes,
,net.ipv4.tcp_max_syn_backlog,"Indicates the length of the SYN queue. A larger queue length can accommodate more network connections waiting for connections.
The default value is 2048. You are advised to change the value to 8192.",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,1024,262144,1024,,yes,
,net.ipv4.tcp_max_orphans,"Number of sockets that can be processed by the system and do not belong to any process. When a large number of connections need to be quickly established, pay attention to this parameter.",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,65536,16777216,65536,,yes,
,net.ipv4.tcp_ecn,Indicates whether to enable the direct TCP congestion notification function. 0: disabled; 1: enabled,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1; 2,string,,,,,yes,
,net.ipv4.ip_forward,"Indicates whether to enable IPv4 IP forwarding.
0: disabled
1: enabled",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes,
,net.ipv4.conf.default.rp_filter,The kernel sets the policy for responding to ARP queries.,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes,
,net.ipv4.ip_local_port_range,The range of available ports has been increased to prevent performance deterioration caused by continuous search of available ports for new connections when a large number of connections occupy ports.,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,32768 60999; 1024 65535; 8192 65535,string,,,,,yes,
,net.ipv4.tcp_no_metrics_save,"After a TCP connection is closed, the saved parameters can be used to initialize the connection when the same connection is created next time as long as dst_entry is valid.",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes,
,net.ipv4.ip_default_ttl,Specifies the lifetime of IP packets sent from the local device. The value is an integer ranging from 0 to 128. The default value is 64.,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,8,128,8,,yes,
,net.ipv4.ip_no_pmtu_disc,Setting the MTU for Automatic Socket Detection,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes,
,net.ipv4.tcp_retries2,The number of retries required before discarding an active (established traffic condition) TCP connection. The default value is 15.,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,3,30,1,,yes,
,net.ipv4.tcp_orphan_retries,Number of retries before the local end discards the TCP connection. The default value is 7.,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,0,15,1,,yes,
,net.ipv4.tcp_syncookies,Indicates whether to enable the TCP synchronization label (syncookie).,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes,
,net.ipv4.tcp_reordering,Maximum number of reordered data packets in TCP flows,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,2,10,1,,yes,
,net.ipv4.tcp_retrans_collapse,"Provides compatibility for bugs on some printers. (Generally, this support is not required. You can disable it.)",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes,
,net.ipv4.tcp_congestion_control,TCP congestion scheduling algorithm,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,cubic; reno; bbr,string,,,,,yes,
,net.ipv4.conf.default.promote_secondaries,"0: When the primary IP address of an interface is removed, all secondary IP addresses are deleted.
1: When the primary IP address of an interface is removed, the secondary IP address becomes the primary IP address.",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes,
,net.ipv4.conf.all.promote_secondaries,"0: When the primary IP address of an interface is removed, all secondary IP addresses are deleted.
1: When the primary IP address of an interface is removed, the secondary IP address becomes the primary IP address.",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes,
,net.ipv4.conf.all.accept_redirects,"Receives and sends ICMP redirection messages. The default value is True for hosts and False for routers.
0: disabled
1: yes",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes,
,net.ipv4.conf.default.accept_redirects,"Receives and sends ICMP redirection messages. The default value is True for hosts and False for routers.
0: disabled
1: yes",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes,
,net.ipv4.conf.all.secure_redirects,"Receives only ICMP redirect messages sent to gateways in the default gateway list.
0: disabled
1: yes",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes,
,net.ipv4.conf.default.secure_redirects,"Receives only ICMP redirect messages sent to gateways in the default gateway list.
0: disabled
1: yes",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes,
,net.ipv4.icmp_echo_ignore_broadcasts,"Ignore all received ICMP Echo request broadcasts.
0: not ignore
1: ignore",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes,
,net.nf_conntrack_max,Maximum number of ip_conntrack structures in the memory,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,65536,1048576,65536,,yes,
,net.netfilter.nf_conntrack_tcp_timeout_established,Timeout interval for TCP in the established state (s),sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,108000,1728000,108000,,yes,
,net.netfilter.nf_conntrack_tcp_timeout_close_wait,Timeout interval for TCP in close wait state (s),sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,15,240,15,,yes,
,net.netfilter.nf_conntrack_tcp_timeout_fin_wait,Timeout interval for TCP in the fin wait state (s),sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,30,480,30,,yes,bad command line argument(s)
,net.netfilter.nf_conntrack_tcp_timeout_time_wait,Timeout interval for TCP in time wait state (s),sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,30,480,30,,yes,
,net.ipv4.conf.default.forwarding,"Enable the forwarding function on the interface.
0: disabled
1: yes",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes,
,net.core.rps_sock_flow_entries,RFS (Receiver Flow Control) extends the performance of RPS to increase the CPU cache hit ratio and reduce network latency.,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,0,131072,1024,,yes,
,net.ipv4.tcp_min_tso_segs,Minimal number of segments per TSO frame.,sysctl -n @name,sysctl -w @name=$value,FALSE,continuous,,int,1,16,1,,yes,
others,login.UserTasksMax,Limit the maximum number of operating system tasks that can be run concurrently by each user,"cat /etc/systemd/logind.conf | grep -w ""^UserTasksMax"" | awk -F ""="" '{print$2}'","sed -i ""s/UserTasksMax=.*/UserTasksMax=$value/"" /etc/systemd/logind.conf",FALSE,continuous,,int,1024,1048576,,,yes,
,ulimit.nofile,Maximum number of files that can be used by a user.,ulimit -n,ulimit -n $value,FALSE,discrete,,int,1024,10240,1,,yes,
Hardware-related,prefetcher,"Hardware prefetch policy. The value 0 indicates that the policy is disabled, and the value 15 indicates that the policy is enabled.",cat /sys/class/misc/prefetch/policy,echo $value > /sys/class/misc/prefetch/policy,FALSE,discrete,0; 15,int,0,15,1,,yes,
,read_unique,Whether to allow cross-numa access to cache. 0--allow 1--forbid.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_nosnp_atomic_bypass_en,Whether to bypass atomic operations of CPUs. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_ro_alloc_shut_en,Whether to allow allocating readonce operation into L3. 0--allow 1--forbid,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_wrfull_hit_shut_en,Whether to send createE to HA when 64wu-full hit spipe M. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,req_conflict_en,Whether to enable the operation of reversing back one pat when receiving requests from both in and out of CPU. 0--disable 1--enable ,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,lower_power_en,Whether to enable CQ low power method. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,dataclean_shut_en,Whether to shield the CE bit of Taishan Core's write_no_snoop_full. 0--not shield 1--shield,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,arb_flush_shut_en,Whether to enable the reset of ARBIT scheduling pointer when CQ queue is at idle status. 0--enable 1--disable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,pgnt_arb_exat_shut_en,Whether to enable pgrant scheduling method in which only one grant tries at one time. 0--enable 1--disable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,fast_exter_shut_en,Whether to forbid data missed from extern requests to be transferred through fast access. 0--allow 1--forbid,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,fast_data_shut_en,Whether to forbid data missed to be transferred through fast access. 0--allow 1--forbid,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,pend_data_shut_en,Whether to forbid data missed to be transferred through pend access. 0--allow 1--forbid,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,ramswap_full_shut_en,Full or partial when doing ramswap. 1--partial 0--Full.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,ramfwd_shut_en,Enable ramfwd method. 0--enable 1--disable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reads_upgrade_en,Enable read_shared operation status promotion. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,rdmerge_pipe_en,Whether to allow requests from Sqmerge to be hit in Cpipe5. 0--forbid 1--allow,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,spill_en,Enable spill in L3T. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,spill_shared_en,Enable spill at shared status of L3T. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,spill_instr_en,Enable instruction spill in L3T. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,sqrdmerge_en,Use RDMERGE acceleration in SQ merge operations. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,prefetch_drop_en,Enable the drop of prefetch in L3T. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,datapull_en,Enable the datapull in L3T. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,mkinvld_en,Enable the transformation from makelinvalid to cleinvalid. 0--enable 1--disable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,ramthr_en,Allow CPU to derive data back from thr channel directly in L3D. 0--forbid 1--allow,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,rsperr_en,Allow to report rsperr. 0--forbid 1--allow,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,iocapacity_limit_en,Whether to limit the io capacity of cache. 0--unlimiet 1--limit.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,force_cq_clk_en,Force to open Cache queue clock. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,sqmerge_en,Whether consecutive address access can occupy only one entry in the squeue to accelerate the merge process. 0--limit 1--merge.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,rdmerge_upgrade_en,Whether to allow the RS to merge with the preceding ReadE. 0--disabl 1--allow.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,prefetch_drop_hha_en,Whether to merge a non-prefetch operation with the previous prefetch operation. 0--allow 1--limit.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,tag_rep_alg,Choose cache line algorithm. 0--random 1--drrip 2--plru 3--random.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,,int,0,3,1,,yes,
,rdnosnp_nca_shut_en,Whether to mark the readnosnp of the bypass sent by the CPU as NCA. 0--yes 1--no,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,wrfull_create_en,Whether to enable 128-byte writeunique only to obtain permission but not data from HHA. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,cleanunique_data_en,Whether to enable the cleanunqunie to return data. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,lock_share_req_en,Whether to enable the register lock function in share mode and not to deliver operations to the HHA. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,ddr_compress_opt_en,Optimization switch of support HHA compression access. 0--disable 1--enable.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,atomic_monitor_en,Enable atomic_monitor. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,snpsleep_en,Whether to enable snp sleep. 0--disable 1--enable.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,prefetchtgt_en,Whether to enable the prefetchtgt. 0--disable 1--enable.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,sequence_shape_en,Enable to push back to the CPU for several cycles when the SQ is about to be full. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,mpam_portion_en,Enable the function of allocating MPAM based on the way. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,mpam_capacity_en,Enable the function of allocating MPAM based on capacity statistics. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,eccchk_en,Enable ECC_CHK. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,refill_1024_relax_en,Whether to use the 1024-bit size to send requests for access. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,lookup_thr_en,Whether to enable the through channel during pipeline query. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,snpunique_stash_en,Support to receive hydra snpUniquestash. 0--forbid 1--support,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,prime_timeout_mask_en,Enable the count for timeout. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,prime_sleep_mask_en,Enable the function of releasing a sleep request after a period of time. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,prime_extend_mask_en,Whether to enable random allocation of a request to extendway. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,force_intl_allocate_fail,Enable the function of forcibly determining that the assign operation of the intleave type fails. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,cpu_write_unique_stream_en,Whether to forcibly process the writeunique operation delivered by the CPU as the stream type. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,cpu_pf_lqos_en,Whether to enable the prefetch operation delivered by the CPU to be forcibly processed as the lqos operation. 0--disable 1--enable.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,cpu_vic_lqos_en,Whether to enable the victim operation delivered by the CPU to be forcibly processed as the lqos operation. 0--disable 1--enable.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,prime_excl_mask_en,Whether to enable the random exclusive operation. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,prime_drop_mask_en,Enable prefetch to retry randomly. 0--disable 1--enable.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,prime_home_mask_en,Enable the forcehome processing on internal requests randomly. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,refillsize_com_ada_en,"Whether to enable the auto-sensing of the size of the request sent to the HHA. If the size of the continuously received requests is 128 bytes or 64 bytes, the size of the prefetched request is automatically adjusted. 0--disable 1--enable adaptive size adjustment.",cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,refillsize_pre_ada_en,"Whether to enable the adaptation of the size of the request sent to the HHA. If the size of the continuously received request is 128 bytes or 64 bytes, the size of the normal request is automatically adjusted. 0--disable 1--enable adaptive size adjustment.",cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,sequence_opt_en,Whether change the L3T processing to serial mode when blocking. 0--limit 1--enable.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,prefetch_clr_level,Number of requests that fail to find the corresponding prefetch buffer and lower the priority of each buffer to make the existing buffer easier to replace. Range from 0~255.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,,int,0,255,1,,yes,
,prefetch_overide_level,"Initial coverage priority for an operation to enter the prefetch buffer. If the value is incorrect, the threshold is decreased by 1. If the value is correct, the threshold is increased by 1. If the value is 0, the prefetch rule needs to be replaced. range 0~15.",cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,,int,0,15,1,,yes,
,prefetch_utl_ddr,The utilization of ddr that leads to the halving the threshold of prefetch. 0--less thean 1/2 1--1/2 2--3/4 3--almost full.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,,int,0,3,1,,yes,
,prefetch_utl_ddr_en,Whether to allow the automatic threshold reduction according to the utilization of ddr. 0--forbid 1--allow.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,prefetch_utl_l3t,The utilization of l3t that leads to the halving the threshold of prefetch. 0--less thean 1/2 1--1/2 2--3/4 3--almost full.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,,int,0,3,1,,yes,
,prefetch_utl_l3t_en,Whether to allow the automatic threshold reduction according to the utilization of l3t. 0--forbid 1--allow.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,prefetch_vague_en,"Whether to enable fuzzy match for prefetch. After the function is enabled, the prefetch summarizes the same 16 KB address rule. The four 4 KB address rules are the same and can be used together. 0--disable 1--enable.",cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,prefetch_core_en,Core prefetch enable: Bit 1 indicates that the core request needs to be prefetched. range 0~15.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,,int,0,15,1,,yes,
,prefetch_match_en,Whether to enable the prefetch operation after the prefetch hit. 0--disable 1--enable.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,prefetch_start_level,"The number of missing addresses that leads to prefetch. 0--32 1--2 n-1--n, can be 0-31.",cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,,int,0,31,1,,yes,
,pime_timeout_num,The maximum count of timeout. Range from 0 to 65535.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,,int,0,65535,1,,yes,
,reg_ctrl_spillprefetch,Snoop type configuration of the spill. 0--type of request 1--prefetch,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_ctrl_mpamen,Enable HHA MPAM scheduling. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_ctrl_mpamqos,Enable QoS for modifying the DDR read/write command based on the MPAM monitoring and control bandwidth. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_ctrl_poison,Enable HHA to return poison. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_ctrl_compress_spec,Enable the random read of 128-byte data in HHA memory data compression. 0--disable 1--enable,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_ctrl_writeevict_drop,Enable the discard of WriteEvictI. 0--disable 1--enable.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
,reg_ctrl_prefetch_drop,Prefetch operation discard enable. 0--disable 1--enable.,cat /sys/class/misc/prefetch/@name,echo $value > /sys/class/misc/prefetch/@name,FALSE,discrete,0; 1,string,,,,,yes,
