Category,"name
(Parameter to be adjusted)","desc
(Parameter description)","get
(Command for querying parameter values.)","set
(Command for setting parameter values)",needrestart(Whether require restart or not),type (discrete/continuous),"options
(For the discrete type, use"";""to split  different values.)","dtype
(For discrete, the parameter value type can only be int or string.)","scope
(Minimum value of the parameter)","scope
(Maximum Value of the parameter)","step
(Step of the parameter value)","items
(Enumerated values out of parameter values. Use "";"" to split different values)",select (whether to select the parameter)
,net.ipv4.tcp_fastopen,Whether to enable the TCP quick open mode is to avoid the three-way handshake of hot requests. This greatly improves the performance in the scenario where small objects are moved.,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,1; 2; 4,string,,,,,yes
,net.ipv4.tcp_synack_retries,"For the remote connection request SYN, the kernel sends a SYN + ACK packet to acknowledge the receipt of the previous SYN connection request packet.
It's called a three-way handshake. This parameter determines the number of SYN+ACK packets sent by the kernel before the kernel discards the connection.",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,3,64,1,,yes
,net.ipv4.tcp_syn_retries,"Number of times that the local device retransmits TCP SYN packets due to timeout. The value cannot be greater than 255. This parameter is valid only for outgoing connections. For incoming connections, this parameter is controlled by tcp_retries1.",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,3,64,1,,yes
,net.ipv4.tcp_moderate_rcvbuf,"Whether to adjust the receive buffer when receiving data
0: no adjustment
1: yes",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes
,net.ipv4.tcp_timestamps,"Indicates whether to enable the calculation of the RTT in a more accurate way than timeout retransmission (see RFC 1323). This option should be enabled for better performance.
0: no
1: enabled",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes
,net.ipv4.tcp_dsack,"Indicates whether to allow TCP to send two identical SACKs.
0: disabled
1: enabled",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes
,net.ipv4.tcp_fack,Enables the forwarding acknowledgment. The selective acknowledgment (SACK) can be performed to reduce the occurrence of congestion. This option should also be enabled.,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes
,net.ipv4.tcp_sack,"Indicates whether to enable the selective acknowledgment function. This function improves the performance by selectively responding to out-of-order received packets. In this way, the sender can send only lost packet segments. This function should be enabled for WAN communication, however, this increases the CPU usage.
0: no
1: enabled",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes
,net.ipv4.tcp_low_latency,"Allows the TCP/IP stack to adapt to low latency in high throughput scenarios. This option is generally disabled. (But when building a Beowulf cluster, it helps to open it.)
0: disabled
1: enabled",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes
,net.ipv4.tcp_adv_win_scale,Calculating the Buffer Overhead,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,0,4,1,,yes
,net.ipv4.route.max_size,"Maximum number of entries in the routing cache. If the number of entries in the routing cache exceeds the maximum, the old entries are cleared.",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,67108864,2080374784,67108864,,yes
,net.ipv4.tcp_max_tw_buckets,"Reduce the number of TIME_WAIT connections to prevent excessive TIME_WAIT connections from occupying network resources and increasing the latency.
The default value is 2048. You are advised to change the value to 360000.",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,32768,1048576,32768,,yes
,net.ipv4.tcp_max_syn_backlog,"Indicates the length of the SYN queue. A larger queue length can accommodate more network connections waiting for connections.
The default value is 2048. You are advised to change the value to 8192.",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,1024,262144,1024,,yes
,net.ipv4.tcp_max_orphans,"Number of sockets that can be processed by the system and do not belong to any process. When a large number of connections need to be quickly established, pay attention to this parameter.",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,65536,16777216,65536,,yes
,net.ipv4.tcp_ecn,Indicates whether to enable the direct TCP congestion notification function. 0: disabled; 1: enabled,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1; 2,string,,,,,yes
,net.ipv4.ip_forward,"Indicates whether to enable IPv4 IP forwarding.
0: disabled
1: enabled",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes
,net.ipv4.conf.default.rp_filter,The kernel sets the policy for responding to ARP queries.,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes
,net.ipv4.ip_local_port_range,The range of available ports has been increased to prevent performance deterioration caused by continuous search of available ports for new connections when a large number of connections occupy ports.,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,32768 60999; 1024 65535; 8192 65535,string,,,,,yes
,net.ipv4.tcp_no_metrics_save,"After a TCP connection is closed, the saved parameters can be used to initialize the connection when the same connection is created next time as long as dst_entry is valid.",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes
,net.ipv4.ip_default_ttl,Specifies the lifetime of IP packets sent from the local device. The value is an integer ranging from 0 to 128. The default value is 64.,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,8,128,8,,yes
,net.ipv4.ip_no_pmtu_disc,Setting the MTU for Automatic Socket Detection,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes
,net.ipv4.tcp_retries2,The number of retries required before discarding an active (established traffic condition) TCP connection. The default value is 15.,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,3,30,1,,yes
,net.ipv4.tcp_orphan_retries,Number of retries before the local end discards the TCP connection. The default value is 7.,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,0,15,1,,yes
,net.ipv4.tcp_syncookies,Indicates whether to enable the TCP synchronization label (syncookie).,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes
,net.ipv4.tcp_reordering,Maximum number of reordered data packets in TCP flows,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,2,10,1,,yes
,net.ipv4.tcp_retrans_collapse,"Provides compatibility for bugs on some printers. (Generally, this support is not required. You can disable it.)",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes
,net.ipv4.tcp_congestion_control,TCP congestion scheduling algorithm,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,cubic; reno; bbr,string,,,,,yes
,net.ipv4.conf.default.promote_secondaries,"0: When the primary IP address of an interface is removed, all secondary IP addresses are deleted.
1: When the primary IP address of an interface is removed, the secondary IP address becomes the primary IP address.",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes
,net.ipv4.conf.all.promote_secondaries,"0: When the primary IP address of an interface is removed, all secondary IP addresses are deleted.
1: When the primary IP address of an interface is removed, the secondary IP address becomes the primary IP address.",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes
,net.ipv4.conf.all.accept_redirects,"Receives and sends ICMP redirection messages. The default value is True for hosts and False for routers.
0: disabled
1: yes",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes
,net.ipv4.conf.default.accept_redirects,"Receives and sends ICMP redirection messages. The default value is True for hosts and False for routers.
0: disabled
1: yes",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes
,net.ipv4.conf.all.secure_redirects,"Receives only ICMP redirect messages sent to gateways in the default gateway list.
0: disabled
1: yes",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes
,net.ipv4.conf.default.secure_redirects,"Receives only ICMP redirect messages sent to gateways in the default gateway list.
0: disabled
1: yes",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes
,net.ipv4.icmp_echo_ignore_broadcasts,"Ignore all received ICMP Echo request broadcasts.
0: not ignore
1: ignore",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes
,net.nf_conntrack_max,Maximum number of ip_conntrack structures in the memory,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,65536,1048576,65536,,yes
,net.netfilter.nf_conntrack_tcp_timeout_established,Timeout interval for TCP in the established state (s),sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,108000,1728000,108000,,yes
,net.netfilter.nf_conntrack_tcp_timeout_close_wait,Timeout interval for TCP in close wait state (s),sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,15,240,15,,yes
,net.netfilter.nf_conntrack_tcp_timeout_fin_wait,Timeout interval for TCP in the fin wait state (s),sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,30,480,30,,yes
,net.netfilter.nf_conntrack_tcp_timeout_time_wait,Timeout interval for TCP in time wait state (s),sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,30,480,30,,yes
,net.ipv4.conf.default.forwarding,"Enable the forwarding function on the interface.
0: disabled
1: yes",sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,0; 1,string,,,,,yes
,net.core.rps_sock_flow_entries,RFS (Receiver Flow Control) extends the performance of RPS to increase the CPU cache hit ratio and reduce network latency.,sysctl -n @name,sysctl -w @name=$value,FALSE,discrete,,int,0,131072,1024,,yes
,net.ipv4.tcp_min_tso_segs,Minimal number of segments per TSO frame.,sysctl -n @name,sysctl -w @name=$value,FALSE,continuous,,int,1,16,1,,yes
others,login.UserTasksMax,Limit the maximum number of operating system tasks that can be run concurrently by each user,"cat /etc/systemd/logind.conf | grep -w ""^UserTasksMax"" | awk -F ""="" '{print$2}'","sed -i ""s/UserTasksMax=.*/UserTasksMax=$value/"" /etc/systemd/logind.conf",FALSE,continuous,,int,1024,1048576,,,yes
,ulimit.nofile,Maximum number of files that can be used by a user.,ulimit -n,ulimit -n $value,FALSE,discrete,,int,1024,10240,1,,yes
